Full,"_r
deg","_RAJ2000
""h:m:s""","_DEJ2000
""d:m:s""",HIP,RAhms,DEdms,"Vmag
mag","RAICRS
deg","DEICRS
deg","Plx
mas","pmRA
mas/yr","pmDE
mas/yr","e_Plx
mas","B-V
mag",Notes,"_RA.icrs
deg","_DE.icrs
deg"
40,2.400275,08 41 41.2567378,12 10 32.562679,42660,08 41 41.26,12 10 32.5,9.62,130.4219158,12.17569489,6.18,-5.11,6.98,4.35,0.942,,130.4219031,12.17571186
41,2.430555,09 00 50.5133335,12 34 23.964817,44264,09 00 50.51,12 34 24.1,7.93,135.210473,12.57335122,3.95,-0.3,-11.38,0.97,0.08,,135.2104722,12.57332356
42,2.525214,08 47 33.3146221,14 09 39.332162,43164,08 47 33.33,14 09 39.5,9.08,131.8888741,14.1609615,5.01,-25.21,-14.77,1.39,0.39,,131.8888109,14.1609256
43,2.541992,08 54 27.4216537,14 14 41.880527,43735,08 54 27.43,14 14 41.6,7.84,133.6142764,14.24489115,6.31,-7.78,31.13,1.03,1.203,,133.6142569,14.24496681
44,2.574059,08 43 52.9222258,13 37 26.259379,42848,08 43 52.93,13 37 26.3,8.46,130.9705248,13.62396964,5.8,-6.2,-3.58,2.29,0.772,,130.9705093,13.62396094
45,2.579605,08 46 11.4957617,14 03 43.503370,43043,08 46 11.52,14 03 43.6,7.99,131.5480113,14.06212153,8.77,-44.8,-15.33,1.26,0.288,,131.547899,14.06208427
46,2.583825,08 55 39.2601251,14 10 51.498517,43833,08 55 39.25,14 10 51.8,7.79,133.9135371,14.18105897,3.72,18.67,-35.86,1.09,0.873,,133.9135839,14.18097181
47,2.593258,08 41 16.8499934,11 02 55.496922,42631,08 41 16.87,11 02 55.6,7.55,130.3202731,11.04876402,5.85,-26.16,-6.12,0.94,0.107,,130.3202083,11.04874914
48,2.600866,08 58 45.1305228,09 56 39.620057,44077,08 58 45.14,09 56 39.7,8.89,134.688074,9.94435745,3.64,-12.2,-7.63,1.4,1.242,,134.6880438,9.9443389
49,2.627806,08 44 05.5876843,13 44 55.475792,42865,08 44 05.59,13 44 55.6,8.47,131.0233009,13.7487643,0.72,-7.55,-8.65,1.87,0.967,,131.023282,13.74874328
