Full,"_r
deg","_RAJ2000
""h:m:s""","_DEJ2000
""d:m:s""",HIP,RAhms,DEdms,"Vmag
mag","RAICRS
deg","DEICRS
deg","Plx
mas","pmRA
mas/yr","pmDE
mas/yr","e_Plx
mas","B-V
mag",Notes,"_RA.icrs
deg","_DE.icrs
deg"
44,1.759733,03 40 46.3095795,25 19 46.172941,17181,03 40 46.30,25 19 46.3,6.11,55.19293082,25.32952639,6.24,9.58,-13.95,0.93,0.097,,55.19295658,25.32949248
45,1.77004,03 50 03.4615308,22 35 29.887272,17928,03 50 03.36,22 35 30.4,7.29,57.51401484,22.59178984,26.91,155.06,-63.56,1.13,0.538,,57.51442305,22.59163535
46,1.783034,03 49 38.1800088,22 32 00.537522,17892,03 49 38.17,22 32 00.9,7.01,57.40903653,22.53359202,10.12,17.8,-45,1.04,0.033,,57.40908337,22.53348264
47,1.784046,03 54 25.2411373,24 21 36.278321,18263,03 54 25.23,24 21 36.7,10.94,58.60511727,24.36019636,6.64,20.29,-48.98,2.81,0.714,,58.60517141,24.36007731
48,1.790525,03 39 06.7235127,24 42 10.335528,17034,03 39 06.71,24 42 10.7,7.11,54.77795749,24.70298281,6.87,21.36,-46.01,1.08,0.039,,54.77801464,24.70287098
49,1.793502,03 38 56.8665512,24 34 11.316976,17020,03 38 56.85,24 34 11.7,10.53,54.73688327,24.56991566,3.2,22.71,-43.36,2.21,0.645,,54.73694396,24.56981027
50,1.820616,03 39 41.1762383,23 17 27.150591,17091,03 39 41.16,23 17 27.6,9.94,54.9215064,23.29098731,9.97,23.15,-46.14,1.82,0.608,,54.92156766,23.29087516
51,1.838159,03 41 36.1644453,25 37 09.551725,17245,03 41 36.15,25 37 10.0,10.1,55.40064489,25.61943275,5.91,14.95,-46.42,1.67,0.589,,55.40068519,25.61931992
52,1.865348,03 53 21.1681833,23 07 24.998104,18181,03 53 21.16,23 07 25.0,8.29,58.33818044,23.12359814,3.68,7.69,5.12,1.54,1.54,,58.33820076,23.12361058
53,1.877875,03 38 35.8980904,24 36 05.868538,16996,03 38 35.90,24 36 06.1,8.22,54.64956987,24.60168683,8.21,2.06,-23.32,1.24,0.428,,54.64957538,24.60163015
